,정전피해_지역,피해_가구수,시작시간,종료시간
302,경기도 하남시,1000,2021.07.22 13:36 , 2021.07.22 13:35
303,전라북도 고창군,1000,2021.07.22 13:35 , 2021.07.22 13:34
304,서울특별시 금천구,1000,2021.07.22 13:34 , 2021.07.22 13:32
305,서울특별시 강남구,1000,2021.07.22 13:33 , 2021.07.22 13:33
306,전라북도 김제시,1000,2021.07.22 13:33 , 2021.07.22 13:33
307,전라북도 진안군,1000,2021.07.22 13:33 , 2021.07.22 13:40
308,전라북도 남원시,1000,2021.07.22 13:32 , 2021.07.22 13:40
309,전라북도 순창군,1000,2021.07.22 13:32 , 2021.07.22 13:39
310,전라북도 김제시,1000,2021.07.22 13:32 , 2021.07.22 13:36
311,서울특별시 강서구,1000,2021.07.22 13:32 , 2021.07.22 13:31
312,서울특별시 영등포구,1000,2021.07.22 13:32 , 2021.07.22 13:32
313,서울특별시 서초구,1000,2021.07.22 13:32 , 2021.07.22 13:32
314,서울특별시 관악구,1000,2021.07.22 13:32 , 2021.07.22 13:32
315,서울특별시 강남구,1000,2021.07.22 13:31 , 2021.07.22 13:31
316,전라북도 임실군,1000,2021.07.22 13:31 , 2021.07.22 13:30
317,전라북도 무주군,1000,2021.07.22 13:31 , 2021.07.22 13:37
318,전라북도 익산시,1000,2021.07.22 13:29 , 2021.07.22 13:28
319,전라북도 정읍시,1000,2021.07.22 13:29 , 2021.07.22 13:29
320,서울특별시 서초구,1001,2021.07.22 13:15 , 2021.07.22 13:36
321,경상북도 예천군,1000,2021.07.22 13:00 , 2021.07.22 09:54
322,전라북도 장수군,1000,2021.07.22 11:33 , 2021.07.22 11:33
323,전라북도 부안군,1000,2021.07.22 11:33 , 2021.07.22 11:32
324,전라북도 고창군,1000,2021.07.22 11:32 , 2021.07.22 11:32
325,전라북도 김제시,1000,2021.07.22 11:31 , 2021.07.22 11:30
326,전라북도 남원시,1000,2021.07.22 11:30 , 2021.07.22 11:28
327,전라북도 익산시,1000,2021.07.22 11:30 , 2021.07.22 11:29
328,전라북도 임실군,1000,2021.07.22 11:30 , 2021.07.22 11:30
329,부산광역시 사하구,1000,2021.07.22 11:30 , 2021.07.22 10:34
330,전라북도 순창군,1000,2021.07.22 11:29 , 2021.07.22 11:28
331,전라북도 진안군,1000,2021.07.22 11:28 , 2021.07.22 11:43
332,전라북도 정읍시,1000,2021.07.22 11:28 , 2021.07.22 11:27
333,전라북도 무주군,1000,2021.07.22 11:28 , 2021.07.22 11:27
334,전라북도 군산시,1000,2021.07.22 11:28 , 2021.07.22 11:27
335,전라북도 익산시,1000,2021.07.22 11:28 , 2021.07.22 11:28
336,전라북도 전주시 완산구,1000,2021.07.22 11:28 , 2021.07.22 11:32
337,전라북도 김제시,1000,2021.07.22 11:27 , 2021.07.22 11:27
338,전라북도 전주시 덕진구,1000,2021.07.22 11:26 , 2021.07.22 11:26
339,전라북도 임실군,1000,2021.07.22 10:53 , 2021.07.22 10:34
340,부산광역시 기장군,1000,2021.07.22 10:40 , 2021.07.22 10:42
341,부산광역시 강서구,1000,2021.07.22 10:40 , 2021.07.22 10:43
342,전라북도 장수군,1000,2021.07.22 10:39 , 2021.07.22 10:37
343,전라북도 정읍시,1000,2021.07.22 10:39 , 2021.07.22 10:39
344,전라북도 김제시,1000,2021.07.22 10:38 , 2021.07.22 10:37
345,부산광역시 영도구,10000,2021.07.22 10:38 , 2021.07.22 10:37
346,전라북도 고창군,1000,2021.07.22 10:37 , 2021.07.22 10:36
347,전라북도 부안군,1000,2021.07.22 10:37 , 2021.07.22 10:36
348,전라북도 김제시,1000,2021.07.22 10:36 , 2021.07.22 10:35
349,부산광역시 강서구,1000,2021.07.22 10:36 , 2021.07.22 10:36
350,부산광역시 금정구,1000,2021.07.22 10:35 , 2021.07.22 10:34
351,부산광역시 사하구,1000,2021.07.22 10:35 , 2021.07.22 10:35
352,울산광역시 울주군,1000,2021.07.22 10:35 , 2021.07.22 10:34
353,울산광역시 울주군,1000,2021.07.22 10:35 , 2021.07.22 10:35
354,경상남도 김해시,1000,2021.07.22 10:35 , 2021.07.22 10:35
355,전라북도 익산시,1000,2021.07.22 10:35 , 2021.07.22 10:34
356,부산광역시 부산진구,1000,2021.07.22 10:34 , 2021.07.22 10:33
357,부산광역시 기장군,1000,2021.07.22 10:34 , 2021.07.22 10:35
358,전라북도 순창군,1000,2021.07.22 10:33 , 2021.07.22 10:32
359,전라북도 진안군,1000,2021.07.22 10:32 , 2021.07.22 10:48
