,year,day,현재수요(MW),공급능력(MW),공급예비율(퍼센트)
189,2018,4,64330.27991056397,89310.5379050926,40.194870306712964
190,2018,5,66651.55449810607,89964.6863425926,36.2562117739899
191,2018,6,66095.62855534512,90157.62586805556,37.77733172401094
192,2018,7,65307.79714593855,89763.71556712962,39.18228234953703
193,2018,8,65282.14641608392,89668.89772727272,39.199621765734264
194,2018,9,65189.12557870371,90151.65364583333,39.79845286458333
195,2018,10,65260.182725694445,89610.22800925927,38.71226131365741
196,2018,11,65058.25643939394,89105.44815340909,38.355438386468855
197,2018,12,67031.86811342592,89627.32089120371,34.81242702546296
198,2018,13,66403.12250631313,89801.9230324074,36.518610167034936
199,2018,14,65090.63405671297,89950.24479166667,39.473572265624995
200,2018,15,63523.84030671296,89383.59027777778,42.02736218171296
201,2018,16,64283.11935763889,89329.51388888889,41.090265653935184
202,2018,17,64113.15954861111,89224.22424768518,41.055770341435185
203,2018,18,64103.60722941217,88908.32499473906,40.33677588120791
204,2018,19,65697.51318392257,89711.17395307239,37.762624058291244
205,2018,20,65840.68043981481,89820.19704861111,37.72490671296296
206,2018,21,65107.48192603114,89963.67905618687,39.47571469118266
207,2018,22,64625.95755208333,89736.67708333333,40.340260271990736
208,2018,23,65567.71382049663,89952.99045138889,39.65052107007576
209,2018,24,64366.58564814815,89798.63128682661,42.424624426557244
210,2018,25,63051.00827809343,89245.24739583333,44.34966421269991
211,2018,26,65408.56536458333,89602.50983796296,39.12905534143519
212,2018,27,65888.10929345539,90256.8984375,38.434451075336696
213,2018,28,65250.26944707492,89960.78327546296,39.0820875
214,2018,29,65077.67178030303,89603.30587121213,38.95718390151515
215,2018,30,65252.35171315427,90560.12878787878,40.361083881427916
216,2018,31,67266.83163780664,92325.45188492064,38.52007360209235
217,2019,1,61801.16947337963,90859.65914351851,48.41413527199074
218,2019,2,63313.89852430555,91118.15190972222,45.75192662037037
219,2019,3,63167.2722511574,90522.11140046296,45.14333460648148
220,2019,4,63726.794965277775,90457.56047453704,43.81713836805555
221,2019,5,63394.86574074074,90667.58651620371,45.31986362847223
222,2019,6,62080.44788773148,90550.13368055556,47.93008072916667
223,2019,7,63160.22525515573,90419.33159722222,44.543961029566496
224,2019,8,64028.582233796296,90519.87789351851,42.784078674768516
225,2019,9,64420.32850115741,90495.33680555556,42.345257957175924
226,2019,10,64235.94594381314,89831.92384785353,41.3352154224537
227,2019,11,65006.4314525463,89758.98640046296,39.113409780092596
228,2019,12,63599.62867476852,89936.67650462962,43.30804129050926
229,2019,13,62612.055100484,89822.78406460438,46.48756928372264
230,2019,14,63453.990196233164,89563.94589120371,43.660487424242426
231,2019,15,63830.2744212963,89659.26517781986,42.22587895622896
232,2019,16,63804.99873474327,89875.54924242425,42.35761120054714
233,2019,17,63200.40752051768,89890.92116477274,43.58802285879629
234,2019,18,64959.38324652778,90919.90538194444,41.28559207175926
235,2019,19,65056.564688552186,90706.28935185185,40.92647731507786
236,2019,20,64078.363126052194,90593.81307870371,42.94335274621212
237,2019,21,64110.485492950334,90380.19328703704,42.35127217224326
238,2019,22,64056.45598958333,90088.72974537038,41.96721902093855
239,2019,23,63759.659317129626,89921.45891203704,42.52167141203704
240,2019,24,62886.63157354799,90090.10011574073,44.83468762100168
241,2019,25,64303.38266782407,90263.33535879629,41.81471753472223
242,2019,26,64516.196614583336,90461.59317129629,41.67025072337963
