,斥档,矫焙备,Unnamed: 2,拌距备盒,绊按荐,荤侩樊(kWh),傈扁夸陛(盔),乞闭魄概窜啊(盔/kWh)
513,202201,堡林堡开矫,辑备,魂诀侩,682 ,"26,982,772 ","3,318,100,717 ",123 
510,202201,堡林堡开矫,辑备,啊肺殿,"8,723 ","1,229,769 ","132,852,816 ",108 
511,202201,堡林堡开矫,辑备,背腊侩,105 ,"2,791,548 ","293,157,677 ",105 
512,202201,堡林堡开矫,辑备,丑荤侩,"1,094 ","536,877 ","27,588,496 ",51.4 
514,202201,堡林堡开矫,辑备,缴 具,739 ,"1,906,425 ","146,355,823 ",76.8 
515,202201,堡林堡开矫,辑备,老馆侩,"20,082 ","73,907,051 ","9,790,803,317 ",132.5 
516,202201,堡林堡开矫,辑备,林琶侩,"76,702 ","39,825,334 ","4,503,990,390 ",113.1 
517,202201,堡林堡开矫,辑备,钦拌,"108,127 ","147,179,776 ","18,212,849,236 ",123.7 
500,202201,堡林堡开矫,悼备,林琶侩,"42,421 ","15,798,183 ","1,867,922,024 ",118.2 
509,202201,堡林堡开矫,合备,钦拌,"172,118 ","213,735,884 ","25,206,607,814 ",117.9 
499,202201,堡林堡开矫,悼备,老馆侩,"11,577 ","35,175,736 ","4,667,527,763 ",132.7 
498,202201,堡林堡开矫,悼备,缴 具,899 ,"1,503,993 ","113,218,764 ",75.3 
478,202201,堡林堡开矫,堡魂备,啊肺殿,"13,048 ","2,701,664 ","295,208,292 ",109.3 
497,202201,堡林堡开矫,悼备,魂诀侩,425 ,"3,340,624 ","415,770,434 ",124.5 
479,202201,堡林堡开矫,堡魂备,背腊侩,170 ,"6,862,868 ","710,854,412 ",103.6 
480,202201,堡林堡开矫,堡魂备,丑荤侩,"6,370 ","6,459,733 ","302,574,365 ",46.8 
481,202201,堡林堡开矫,堡魂备,魂诀侩,"3,311 ","183,027,209 ","22,721,180,043 ",124.1 
482,202201,堡林堡开矫,堡魂备,缴 具,"1,261 ","2,765,486 ","200,414,295 ",72.5 
484,202201,堡林堡开矫,堡魂备,林琶侩,"87,003 ","54,307,677 ","6,108,399,029 ",112.5 
485,202201,堡林堡开矫,堡魂备,钦拌,"135,839 ","331,235,848 ","40,179,347,077 ",121.3 
486,202201,堡林堡开矫,巢备,啊肺殿,"8,775 ","1,162,161 ","122,855,550 ",105.7 
487,202201,堡林堡开矫,巢备,背腊侩,103 ,"3,914,402 ","409,052,596 ",104.5 
483,202201,堡林堡开矫,堡魂备,老馆侩,"24,676 ","75,111,211 ","9,840,716,641 ",131 
489,202201,堡林堡开矫,巢备,魂诀侩,470 ,"3,845,966 ","519,187,981 ",135 
488,202201,堡林堡开矫,巢备,丑荤侩,"2,424 ","1,291,574 ","64,381,718 ",49.8 
495,202201,堡林堡开矫,悼备,背腊侩,59 ,"3,990,595 ","389,078,997 ",97.5 
494,202201,堡林堡开矫,悼备,啊肺殿,"5,471 ","849,941 ","88,517,556 ",104.1 
493,202201,堡林堡开矫,巢备,钦拌,"81,407 ","72,909,207 ","8,844,074,669 ",121.3 
496,202201,堡林堡开矫,悼备,丑荤侩,366 ,"163,059 ","8,274,091 ",50.7 
491,202201,堡林堡开矫,巢备,老馆侩,"12,010 ","30,547,507 ","4,039,487,114 ",132.2 
490,202201,堡林堡开矫,巢备,缴 具,"1,049 ","2,287,030 ","164,443,408 ",71.9 
492,202201,堡林堡开矫,巢备,林琶侩,"56,576 ","29,860,567 ","3,524,666,302 ",118 
547,202202,堡林堡开矫,合备,老馆侩,"27,978 ","69,323,324 ","9,130,690,803 ",131.7 
540,202202,堡林堡开矫,悼备,林琶侩,"42,412 ","15,320,399 ","1,776,505,972 ",116 
541,202202,堡林堡开矫,悼备,钦拌,"61,230 ","58,256,334 ","7,245,476,584 ",124.4 
542,202202,堡林堡开矫,合备,啊肺殿,"12,599 ","1,707,949 ","187,990,768 ",110.1 
543,202202,堡林堡开矫,合备,背腊侩,193 ,"12,695,308 ","1,304,703,481 ",102.8 
544,202202,堡林堡开矫,合备,丑荤侩,"2,150 ","2,383,150 ","114,433,697 ",48 
545,202202,堡林堡开矫,合备,魂诀侩,"1,616 ","56,611,627 ","6,787,613,022 ",119.9 
546,202202,堡林堡开矫,合备,缴 具,"1,441 ","3,592,500 ","275,194,691 ",76.6 
548,202202,堡林堡开矫,合备,林琶侩,"126,106 ","57,237,193 ","6,414,998,981 ",112.1 
539,202202,堡林堡开矫,悼备,老馆侩,"11,596 ","33,960,749 ","4,537,867,533 ",133.6 
550,202202,堡林堡开矫,辑备,啊肺殿,"8,741 ","1,133,916 ","128,349,754 ",113.2 
551,202202,堡林堡开矫,辑备,背腊侩,105 ,"1,868,664 ","212,875,130 ",113.9 
552,202202,堡林堡开矫,辑备,丑荤侩,"1,092 ","590,700 ","29,764,609 ",50.4 
553,202202,堡林堡开矫,辑备,魂诀侩,683 ,"24,230,134 ","3,034,567,940 ",125.2 
554,202202,堡林堡开矫,辑备,缴 具,736 ,"1,976,695 ","151,447,327 ",76.6 
555,202202,堡林堡开矫,辑备,老馆侩,"20,106 ","72,205,123 ","9,561,031,782 ",132.4 
556,202202,堡林堡开矫,辑备,林琶侩,"76,716 ","40,638,984 ","4,650,071,503 ",114.4 
557,202202,堡林堡开矫,辑备,钦拌,"108,179 ","142,644,216 ","17,768,108,045 ",124.6 
549,202202,堡林堡开矫,合备,钦拌,"172,083 ","203,551,051 ","24,215,625,443 ",119 
